#{"date_testbegin_datetime": "25.01.2023 17:25:30", "test_id": "00-01D", "cell_id": "23-11-001", "points_per_decade": 10}
frequency_Hz,z_real_Ohm,z_imag_Ohm,phi_deg
10019.53,0.00203,0.0035496,60.23508
7928.241,0.002019,0.0027247,53.46102
6307.871,0.002026,0.0020691,45.60373
5034.722,0.0020568,0.0015321,36.68303
3993.056,0.0020968,0.0010786,27.22211
3144.055,0.0021559,0.0006905,17.75824
2519.531,0.002223,0.0003901,9.95215
2000.762,0.002307,0.0001262,3.129894
1580.669,0.0024049,-0.0001024,-2.437916
1253.634,0.0025119,-0.0002927,-6.647461
1000.702,0.0026258,-0.0004557,-9.84622
790.0281,0.0027565,-0.0006049,-12.37783
628.811,0.0029019,-0.0007228,-13.98626
502.2321,0.0030426,-0.0008375,-15.39017
400.1524,0.0031989,-0.0009365,-16.31684
315.5048,0.0033729,-0.0010351,-17.05999
252.0161,0.0035493,-0.0011211,-17.52885
200.3205,0.0037414,-0.0011959,-17.72579
158.0056,0.0039484,-0.0012666,-17.78635
125.558,0.0041555,-0.0013252,-17.68744
99.734,0.0043761,-0.0013784,-17.484
79.44915,0.0045966,-0.0014256,-17.23116
62.91946,0.0048444,-0.001466,-16.83673
49.86702,0.0050852,-0.0014951,-16.38381
38.42213,0.0053723,-0.0015173,-15.77096
31.25,0.0056097,-0.0015147,-15.11077
24.93351,0.0058696,-0.0014815,-14.16557
20.03205,0.0061371,-0.0014344,-13.15564
15.625,0.0064027,-0.0013371,-11.79552
12.46675,0.0066063,-0.0012332,-10.57364
9.9734,0.0067794,-0.0011161,-9.349068
7.971939,0.0069303,-0.0010085,-8.279594
6.351626,0.0070735,-0.0009045,-7.286856
5.013369,0.0071633,-0.000804,-6.403913
3.985969,0.0072369,-0.0007489,-5.908264
3.175813,0.0073446,-0.0007114,-5.532515
2.516103,0.0073852,-0.0006083,-4.708667
1.99553,0.0074545,-0.0005729,-4.395076
1.587906,0.0075221,-0.0006006,-4.564843
1.258052,0.0075482,-0.0005507,-4.172865
0.997765,0.0076422,-0.0005577,-4.173857
0.7927448,0.0077353,-0.0006106,-4.513739
0.6290258,0.0077648,-0.0006368,-4.68848
0.4988825,0.0078209,-0.0006354,-4.645014
0.3985969,0.0078905,-0.0007337,-5.31248
0.316723,0.0079535,-0.0008197,-5.883893
0.2514753,0.0080607,-0.0009107,-6.445869
0.1999787,0.0081663,-0.0010142,-7.079488
0.1587906,0.0083034,-0.0011419,-7.830575
0.1260081,0.0084453,-0.001296,-8.72454
0.1001603,0.0086264,-0.0014733,-9.69198
0.0795031,0.0088119,-0.0016713,-10.73916
0.0631398,0.0090041,-0.0018897,-11.85242
0.050123,0.009256,-0.0021409,-13.02357
0.0398326,0.0095299,-0.0024365,-14.34174
0.0316381,0.0098559,-0.0027605,-15.64697
0.025126,0.0102281,-0.0031258,-16.9935
0.019957,0.0106846,-0.0035286,-18.27562
0.015849,0.0112013,-0.0039474,-19.41254
0.01259,0.0117978,-0.0043717,-20.33252
0.0100006,0.0124293,-0.0047973,-21.10475
